"","True","Segmented","Rbeast","mcp","strucchange"
"260",260.767929,315.000002760873,260,131.783996117235,342
"261",245.112519,58.0000115591979,220,267.836612618102,219
"262",243.575894,297.00001747251,260,224.876025916775,426
"263",261.243501,185.899272850246,140,275.868338950299,426
"264",232.682199,156.999997273005,216,213.513553367042,215
"265",236.974051,164.99999777626,307,269.03762990146,306
"266",276.706927,460.000000096491,234,187.81520880432,NA
"267",259.237587,296.000009115928,331,232.745818397542,339
"268",244.825579,298.807428261866,259,327.622599319071,330
"269",252.297041,447.221280282273,259,124.296242949966,332
"270",261.28188,474.000009825102,252,249.975098149008,397
"271",244.039348,173.999998094969,210,246.917385301106,218
"272",230.1438,176.000072575022,218,218.850368398192,223
"273",247.349868,457.999998867754,247,319.971285394959,NA
"274",250.189361,172.999999810502,NA,244.408482792817,215
"275",231.529405,174.999999953384,215,215.23078845506,214
"276",225.585497,283.000001080593,319,310.355610312398,320
"277",263.684812,173.000014556813,309,236.412174314829,308
"278",272.563497,295.999999596981,333,250.049838186789,333
"279",276.71283,190.000010164117,319,283.569157998697,319
"280",248.171522,471.346746160301,327,317.956096136552,322
"281",220.570844,43.0000017193185,252,291.82013952845,242
"282",233.111424,64.7567863044418,214,214.036934744242,213
"283",255.379657,277.999996891134,317,277.585351858447,316
"284",251.766107,473.999984534134,256,278.40571243032,403
"285",253.32313,57.8066804551728,209,243.487291124529,314
"286",229.822619,65.0000009673804,209,208.262558419185,208
"287",230.422629,164.999989396378,310,274.199638514306,199
"288",257.717182,284.00000841238,214,249.068339185166,323
"289",260.955875,424.999995546339,307,239.427745106941,306
"290",265.244372,287.220869415507,331,329.110406957857,330
"291",262.766934,275.000000347071,323,285.09879117621,322
"292",273.1923,187.000076760172,214,306.568147292005,213
"293",240.583866,384.999997950292,258,222.301862931014,400
"294",272.335858,292.000001377589,319,323.158662138467,322
"295",252.112888,288.598232075009,318,248.842711076209,426
"296",229.049339,67.0000406655289,213,259.0884975833,212
"297",276.189531,476,347,344.969466945133,346
"298",249.422971,272.00000061652,316,314.761911789682,315
"299",255.918482,296.999998122236,328,331.678600663864,327
"300",242.840494,51.0000084858996,224,219.401803264745,219
