"","True","Segmented","Rbeast","mcp","strucchange","Ours"
"74",15.01076972351,15.9999875993786,17,16.7405385573124,16.5,15.7087977299191
"75",12.8904621735476,9.99999924606408,13,13.3589582916521,13,12.4963229151294
"76",14.435466196536,14.0000155432336,14.5,14.6675039343736,14.5,13.9772882492398
"77",15.3403634337636,20.9999993873953,16,16.2850302965591,16,15.4246603121401
"78",15.9177376332297,16.9999174289493,17,16.6331486732513,16.5,15.3850532392618
"79",12.7434133669314,10.9999871759172,7.5,13.5654791944343,13,12.71373644676
"80",13.9722023032861,9.00000475503749,15,14.8719822754366,14.5,13.9989922254955
"81",15.2563598432339,24.0000000986902,16,16.3204652581466,16,15.6224090417159
"82",15.8349970263559,19.9999860040867,22.5,21.9396264935578,22,15.3498036914908
"83",15.7231178612059,11.0000268330399,16.5,16.6778183797416,16.5,15.6065815990552
"84",15.7496211678238,14.0000000373847,17,16.7454011699881,16.5,15.65726143401
"85",15.573995310464,17.7290036511948,14,16.4474539957684,16.5,15.159444862765
"86",17.5406067076679,25.9999547397772,17.5,18.0687144393697,18,16.9077865419438
"87",14.4522935249234,18.6379236723683,15,15.2515293866875,14.5,14.4658289360611
"88",16.5122947558536,11.99999992626,16.5,16.8730773864119,16,15.6998719397636
"89",15.3752063827145,23.9845339529564,17.5,17.7420881041664,17.5,16.4380870543998
"90",18.3755560095368,13.0000001165058,19,19.2457708584271,19,18.3027714120952
"91",15.9562556654651,22.000000001245,16.5,16.7290865185597,16.5,15.8869805111803
"92",15.5722257403342,11.999999154586,17,16.6784174539399,16.5,15.4988476702568
"93",18.0050262556452,18.0000004860446,18.5,18.6926856094982,18.5,17.780809363014
"94",15.5439342188739,13.9999591584422,16,15.8675969967468,15.5,14.9940609022461
"95",14.1245730610548,10.9999980404098,15,15.6287436856861,15,14.6462236170618
"96",15.3692941991341,11.5239008732408,17,16.7518351887027,16.5,15.7131663326975
"97",14.6127701924272,13.475240795767,15.5,15.2845047104719,15,14.5185772392513
"98",14.7484412722648,15.0000239013409,13,14.5829014967215,15,13.161941921118
"99",12.1393712107717,17.0000421823816,10,14.0277470294643,13.5,12.9448446817972
"100",14.1244607841521,9.00000374208835,17.5,16.5367538003146,17,14.1902467568982
"101",17.0518720371808,13.9999745662171,18.5,18.2250216905376,18,17.2362758061856
"102",13.8174555845746,6.06354367716403,15,14.6916409993835,14.5,13.7328133500165
"103",18.3138165713608,33.0000102203603,19.5,23.4241284545166,22.5,19.3370802220033
"104",14.0243490169251,11.0000005425141,15,14.6692108718855,14.5,13.7910414137037
"105",18.55485929536,25.9999989626446,19,18.9212576213029,18.5,18.2588725158566
"106",16.2906897171889,12.6847136364825,17,16.6199108864114,16.5,15.7151245707863
"107",12.8598865453586,17.0000030923631,14,14.0238136740116,13.5,13.0913369884333
"108",14.5628323667207,13.0000013547602,7,23.2731519046504,23,14.3572141150291
"109",17.8075765450949,29.584752165277,19,19.1851020698336,19,18.4142007540172
"110",13.4366243379234,23.0000045550316,14,27.2679171416453,27.5,13.5095947529467
"111",17.1406231652123,19.9999973776553,18.5,18.201150352451,18,17.2419266955516
"112",13.3730168060228,6.99996762921361,14,13.5289574477777,13.5,11.9990344769217
"113",14.8281082849249,12.6665755113021,13.5,13.9729909367767,13,14.0329354849083
"114",17.8950174163661,24.0000002190298,19,20.1639255701133,20,18.7161169085518
"115",13.4697929744527,13.9999724193321,11.5,13.4892442867243,13.5,11.7123128483501
"116",13.3228211494351,14.0626141849442,16,15.9220734602382,15.5,14.823801874417
"117",14.9139403855307,17.999937554634,16,16.7029223132302,17,15.3096768208892
"118",14.2227416881904,16.999993935519,15,15.9698841478173,16,14.5662612568485
"119",17.6076762543494,17.9999993476456,18.5,18.720080699178,18.5,17.9333589417077
"120",14.9870212115495,17.9999859174023,14.5,15.7646113194807,15.5,14.1887559485447
"121",15.3433320977667,16.9999984661912,15.5,16.0423028384859,16,14.8837156300875
"122",17.7712538682367,20.0000013658825,18.5,18.3838751393175,18,17.676941005553
